date,open,high,low,close,volume,trade_count,vwap
2021-04-12,132.39,132.85,130.63,131.37,83139537,609339,131.538421
2021-04-13,132.4,134.66,131.95,134.4026,84666934,628441,133.703923
2021-04-14,135.0,135.0,131.655,132.03,86594757,662958,133.020108
2021-04-15,133.86,134.99,133.64,134.5,79718757,605094,134.38413
2021-04-16,134.51,134.67,133.28,134.065,69367441,529919,133.991162
2021-04-19,133.53,135.47,133.34,134.88,89012155,621336,134.586519
2021-04-20,135.0,135.53,131.81,133.12,89820129,740625,133.462098
2021-04-21,132.35,133.75,131.3001,133.49,63562841,506354,132.813605
2021-04-22,132.85,134.15,131.41,131.94,84415936,613795,132.772419
2021-04-23,132.25,135.12,132.16,134.32,78693251,519001,134.162273
2021-04-26,134.78,135.06,133.56,134.72,66771754,483029,134.541743
2021-04-27,135.1,135.41,134.11,134.39,65655103,476413,134.590471
2021-04-28,134.32,135.02,133.08,133.58,106643554,780141,134.656515
2021-04-29,136.54,136.98,132.45,133.48,149222307,1042945,134.156026
2021-04-30,131.79,133.56,131.065,131.46,109506354,698523,132.197677
2021-05-03,132.01,134.07,131.83,132.54,74954667,578990,132.812243
2021-05-04,131.12,131.4899,126.7,127.85,136403176,1172784,127.965449
2021-05-05,129.21,130.45,127.97,128.1,83739423,656331,129.226959
2021-05-06,127.91,129.75,127.13,129.72,72188394,604347,128.543237
2021-05-07,130.89,131.2582,129.475,130.21,79265031,544293,130.447486
2021-05-10,129.37,129.54,126.81,126.85,79551225,677596,127.946676
2021-05-11,123.37,126.27,122.77,125.91,125606004,914583,124.745146
2021-05-12,123.5,124.64,122.25,122.82,101216729,871918,123.090746
2021-05-13,124.73,126.15,124.26,124.94,99116367,775250,125.200166
2021-05-14,126.34,127.89,125.85,127.45,81525094,532817,126.961447
2021-05-17,126.78,126.93,125.17,126.27,74244534,502295,125.946869
2021-05-18,126.48,126.99,124.78,124.85,63342079,493533,125.976332
2021-05-19,123.0,124.915,122.86,124.69,92611292,674394,124.023801
2021-05-20,125.19,127.72,125.1,127.31,76856062,494794,126.858079
2021-05-21,127.99,128.0,125.21,125.43,79295336,527859,126.148556
2021-05-24,126.0,127.94,125.94,127.1,63086777,442097,127.269833
